,message,label,category
0,[배송조회] 9/9 고객주소가 잘못되었습니다. 택배가 반송되었습니다. 배송 주소 수정 uuuu.me/FgMRD7,스미싱,택배
1,[OO택배] 추석배송 물량증가로 배송이 지연되고 있습니다. 배송일정 확인하세요 http://nene.you/Nkln8,스미싱,택배
2,[OO통운] 고객님 택배 배송 불가 주소 배송불가 즉시 주소 변경 부탁드립니다. dsv.munjsjks.top/goolm,스미싱,택배
3,[로O택배] 당신의 택배 배송 실패 주소가 잘못되었으니 즉시 수정하여 주문 처리하십시오. https://mck000000[.]com,스미싱,택배
4,[로O] 송장번호 (5912******926) 주소불일치로 물품보관중입니다. https://booc.kr/18zh1,스미싱,택배
5,[OO택배] 송장번호 76**-96**-13** 배송지오류 배송지를 확인부탁드립니다 https://bit.ly/3s5klzs,스미싱,택배
6,[OO 택배] 택배 배송 불가 * 주* 소 불 완 전 함 즉 시 변 경 부 탁 드 립 니 다 dokdo.in/V0h,스미싱,택배
7,[생활불편신고] 귀하에게 민원이 접수되어 통보드립니다. 민원확인 http://bit.ly/2Hh9vp9,스미싱,공공기관
8,[도로공사] OOO님 차량 불법단속대상 적발! 확인 후 빠른처리 요망! http365.com,스미싱,공공기관
9,[민원24] 층간소음으로 민원이 접수되어 안내 드립니다. 민원확인 https://c11.kr/2qn0,스미싱,공공기관
10,[Web발신] [경찰청교통민원] 교통법칙금통지 발송 완료 http://bit.ly/3Jh2vp5,스미싱,공공기관
11,"[Web발신] [건강검진센터] 건강검진 보고서 발송완료, 내용보기 http://b16.h7bv.wtf",스미싱,공공기관
12,[Web발신] 국민건강보험 건강정보보기 http://nhisis.xyz/,스미싱,공공기관
13,[교통민원 24] 위반도로교통 법 시 행령의과태료 고지서 발송 완료 www.efinemin.com/7ZBtP0,스미싱,공공기관
14,[Web발신] [교통민원24] 과속운전(속도측정카메라 촬영)처벌 안내발송되었습니다 http://gr.hsorx.asia:6161,스미싱,공공기관
15,"공공기관 민원 사칭 - 주민등록, 운전면허, 계좌조회 등 조합된 정보 다수 포함 다수 포함됨",스미싱,공공기관
16,[Web발신] 코로나19 피해 소상공인 방역지원금 3차 신청 안내 본문에 포함,스미싱,정부지원금
17,[OO부 지원금 신청 안내] 귀하는 국민지원금 신청대상자입니다 http://kr.center.com,스미싱,정부지원금
18,[Web발신](광고) 정부 지원사업 대상자 안내 전화번호 포함형,스미싱,정부지원금
19,[질병관리청] 코로나19 백신 예약 인증 본인확인 https://ya.mba/3Pm,스미싱,백신
20,☞(^o^)/~★ 추석 잘 보내시고 2021년 남은 시간 모두 모두 행복하세요 http://woz.kr/mhgd,스미싱,지인/명절
21,내일 결혼^혼 선발 웨딩^드레스 사진 보여드릴까요 goo.gl/xxxxxx,스미싱,지인/명절
22,상품 수령 안내 및 이벤트 참여 요청 http://vno.kr/ncqhB,스미싱,기타
23,추석 인사 메시지와 함께 영상 링크 제공 http://mnon.it/Pnti1,스미싱,기타
24,[OO부 지원금 신청 안내] 귀하는 지원금 1차 신청대상자에 해당되므로 온라인센터에서 신청 바랍니다 http://kr.center.com,스미싱,정부지원금
25,귀하는 지원금 1차 신청대상자 입니다. 신청하기 -> http://kr-hw.com,스미싱,정부지원금
26,지원금신청이 접수되었습니다. 다시한번 확인 부탁드립니다 http://tablew.net,스미싱,정부지원금
27,[Web발신] 국내 우한폐렴 급속도확산 감염자 및 접촉자 신분정보 확인하기 news.naver.com...kr,스미싱,보건사칭
28,[Web발신] 코로나 전염병환자 휴게소에서 수많은 사람과 접촉 http://.../pDX,스미싱,보건사칭
29,저희 결혼합니다^^ 꼭 축하해주세요 http://pp.b'x.com/'cce's,스미싱,지인사칭
30,추석 잘 보내시고 2014년 남은 시간 모두 모두 행복하십시오^.^ http://woz.kr/mhgd,스미싱,지인사칭
31,설날 선물세트가 내일 배송 준비중입니다. 정확한 주소지 기재해주세요 jul.im/yKl,스미싱,택배
32,"[OOO 통운] 배송불가(주소불명), 수취정보 변경/확인해주세요 http://twxr.kr/HeEN",스미싱,택배
33,쿠팡맨 박OO입니다. 주소지 오류 배송품 지연중입니다 http://zrr.kr/FGfn,스미싱,택배
34,교통법규위반으로 안내 [청구명령] 발부되었습니다 http://www.coutcarco.kr,스미싱,공공기관
35,[교통 위반 알림] 귀하의 위반 사실 및 민원내용 참조 gos.carmoas.com,스미싱,공공기관
36,[WEB발신] 국민건강보험료 검진 대상이오니 꼭 일정안 받으십시오 tmfie2.com 1577-1000,스미싱,공공기관
37,설날에 찾아뵈야하는데 영상으로나마 인사드립니다 zxy.kr/0ep,스미싱,지인사칭
38,아버지께서 어제 저녁 여섯시에 별세하셨기에 삼가 알려드립니다. 장례식장 t.ly (초대장카드 포함),스미싱,지인사칭
39,[OO은행] 행복을 함께 나누며 고객과 항상 동하는 OO은행이 되겠습니다. 긴급자금지원 안내 미지정,스미싱,금융사칭
40,[CJ대한통운] 등기소포 배송불가(주소불명) 주소지 확인 https://goo.gl/gBfKxn,스미싱,택배
41,[OO통운] 등기소포 배송불가 주소지 확인/변경 요청 xx.com,스미싱,택배
42,부재중이라 물품이 반송되었습니다. 재배송 신청 xx.com,스미싱,택배
43,[도로공사] 차량 단속대상 적발 확인 요망 htt999.com,스미싱,공공기관
44,[민방위] 비상소집 훈련 통보 xx.com,스미싱,공공기관
45,[민원24] 층간소음으로 민원이 접수되어 안내 xx.com,스미싱,공공기관
46,청첩장이 도착하였습니다. 많은 참석 부탁드립니다 http://ti.or/uxyg,스미싱,지인사칭
47,돌잔치 초청 1월 1일 10시 꼭 와주세요 xx.com,스미싱,지인사칭
48,저희 결혼합니다. 축하해 주세요 xx.com,스미싱,지인사칭
49,[한진택배] 택배 도착하자 간단한 문앞에 보관합니다. 사진 bweyr.zuwm.me,스미싱,택배
50,"[Web발신] 고객님 주문하신 ■:건강의료기 799,000원 발송예정 문의번호 포함",스미싱,의료사칭
51,[Web발신] 택배 정확한 주소/정보 수정 me2.do/xhsdp2pl,스미싱,택배
52,"[Web발신] 국민건강정지, 내용확인해주세요 bitly.kr/M208cK",스미싱,건강정보 사칭
53,고객님 예약하신 물품 보냈습니다. 클릭 조회부탁합니다 http://...ddns.net,스미싱,예약사칭
54,상품이 배송되었습니다. 자세한 내용을 보시려면 아래 클릭하세요 http://tinyurl.com/ya3phxn6,스미싱,택배
55,"""롯데리아"" 한우불고기세트 사용쿠폰 2매 http://tiny.cc/gool",스미싱,이벤트 사칭
56,모바일 돌잔치초대장을 보내드렸습니다. 참석하여 주시기 바랍니다. http://balca.er/vervvr,스미싱,지인사칭
57,아버님께서 오늘 별세하셨기에 삼가 알려드립니다. 장례식장 http://t.ly/HkIpA,스미싱,지인사칭
59,[Web발신] 교통신호 미준수 법칙금 및 법점(미처리) 조회 바랍니다. http://t2m.kr/hxWly,스미싱,공공기관
60,[Web발신] [교통범칙금] 11/26 교통위반 과속 과태료(미처리) 고지서 발송 완료 http://orl.kr/iB,스미싱,공공기관
61,[Web발신] 고객님 물량증가로 1~2일 지연 예상되어 문자드립니다. 많은 양해 부탁드립니다. 도메인 불명 (가려짐),스미싱,택배
62,[Web발신] 고객님 물품 주소 지불명으로 반송처리/주소지 재확인 mgsa1.udco0.com,스미싱,택배
63,등기발송하였으나 부재중으로 전달불가 하였습니다. 내용확인 sky1004.cc,스미싱,법원/등기
64,10월30일 저희 결혼해요. 축하해주세요. 모시는글 http://cd99.uso.com,스미싱,지인사칭
65,"[휴대폰 결제]00 10/26 결제금액: 55,000원 결제세부확인 http://goglep.net",스미싱,결제사칭
66,건강보험 환급금 신청 정보 - 환급금 안내 https://naver.me/sEaRkuA4,스미싱,건강보험 사칭
67,[국외발신] 국민건강보험 환급금 확인 바랍니다. dokdo.in/nhis,스미싱,건강보험 사칭
68,[Web발신] (광고) 건강보험료 환급 https://url.kr/d4v9np,스미싱,건강보험 사칭
69,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://bit.ly/3y4bt7,스미싱,택배
70,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://short.kr/07jywx3j2p,스미싱,건강보험
71,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://tinyurl.com/ajqhlp1ew,스미싱,범칙금
72,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://bit.ly/ec6ifk1,스미싱,기타
73,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://orl.kr/6tyey,스미싱,경조사
74,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://t.ly/sgous2,스미싱,명절
75,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://short.kr/266if5,스미싱,명절
76,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://t.ly/24zdr,스미싱,기타
77,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://t.ly/njeiw,스미싱,기타
78,[Web발신] 물품 도착했으나 주소 오류로 반송되었습니다. 재확인 부탁드립니다. http://orl.kr/hy0e605z,스미싱,택배
79,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://tinyurl.com/m3j9xmtzzn,스미싱,명절
80,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://tinyurl.com/578r2fqf7,스미싱,건강보험
81,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://orl.kr/g4ytii85,스미싱,기타
82,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://ddns.net/mupcw,스미싱,범칙금
83,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://ddns.net/mjvor,스미싱,건강보험
84,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://ddns.net/rt0p94m,스미싱,경조사
85,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://ddns.net/nh2fykrnp,스미싱,건강보험
86,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://bit.ly/n21dy7q,스미싱,건강보험
87,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://bit.ly/u0mhq7l,스미싱,범칙금
88,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://url.kr/wiqaat9,스미싱,기타
89,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://me2.do/4ra2w8,스미싱,건강보험
90,[Web발신] 등기 도착 안내드립니다. 수령자 확인 필요 http://me2.do/bux04ikpr7,스미싱,택배
91,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://ddns.net/ruo8gcbc,스미싱,건강보험
92,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://tinyurl.com/cbwvet,스미싱,기타
93,[Web발신] 물품 도착했으나 주소 오류로 반송되었습니다. 재확인 부탁드립니다. http://orl.kr/kt2m8tw,스미싱,택배
94,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://me2.do/x73s6mo5,스미싱,명절
95,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://url.kr/17apm,스미싱,명절
96,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://ddns.net/xh7kofwx,스미싱,경조사
97,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://ddns.net/4h2xhtz,스미싱,경조사
98,[Web발신] 등기 도착 안내드립니다. 수령자 확인 필요 http://short.kr/60oakn60,스미싱,택배
99,[Web발신] 물품 도착했으나 주소 오류로 반송되었습니다. 재확인 부탁드립니다. http://url.kr/k3ukujg8,스미싱,택배
100,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://short.kr/aoiw1,스미싱,명절
101,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://url.kr/coydswuuj,스미싱,건강보험
102,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://me2.do/93gh296vm,스미싱,범칙금
103,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://short.kr/s4psnqzng,스미싱,범칙금
104,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://naver.me/tt2k62atf,스미싱,건강보험
105,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://ddns.net/jpk90uw5,스미싱,명절
106,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://tinyurl.com/5bf2k10cu,스미싱,명절
107,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://bit.ly/5b2gac,스미싱,명절
108,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://tinyurl.com/ix7jjnvb,스미싱,명절
109,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://tinyurl.com/xf5u46puh,스미싱,경조사
110,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://url.kr/k6c3dw,스미싱,건강보험
111,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://t.ly/z1hsvctq0,스미싱,기타
112,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://ddns.net/oycs15cc,스미싱,범칙금
113,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://url.kr/rkekm,스미싱,기타
114,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://short.kr/dx7fiaq,스미싱,범칙금
115,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://bit.ly/o8y93hpm,스미싱,명절
116,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://t.ly/gbfezcvc,스미싱,기타
117,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://url.kr/h1umt,스미싱,범칙금
118,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://short.kr/fghzekuxe,스미싱,범칙금
119,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://bit.ly/pvl04hbj9k,스미싱,경조사
120,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://short.kr/ja9texz,스미싱,범칙금
121,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://me2.do/jotew1cmr,스미싱,기타
122,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://ddns.net/4883k1p28,스미싱,경조사
123,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://naver.me/5mnvp0m4vi,스미싱,건강보험
124,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://me2.do/ryriau,스미싱,명절
125,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://t.ly/3mibwp,스미싱,범칙금
126,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://url.kr/b77mwvmbi5,스미싱,건강보험
127,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://t.ly/dnzonwwxzm,스미싱,경조사
128,[Web발신] 등기 도착 안내드립니다. 수령자 확인 필요 http://short.kr/63t1m,스미싱,택배
129,[Web발신] 물품 도착했으나 주소 오류로 반송되었습니다. 재확인 부탁드립니다. http://tinyurl.com/guexwer,스미싱,택배
130,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://url.kr/4eb6yays7,스미싱,범칙금
131,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://ddns.net/0vviuy,스미싱,경조사
132,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://orl.kr/po1yx,스미싱,택배
133,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://orl.kr/em3d4kgisq,스미싱,기타
134,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://me2.do/8vdhsw6t9,스미싱,경조사
135,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://me2.do/yykm7t0,스미싱,범칙금
136,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://naver.me/kw1gx6ovu,스미싱,경조사
137,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://me2.do/f5mshp9jc,스미싱,택배
138,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://ddns.net/nzuo6imz1,스미싱,범칙금
139,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://bit.ly/l75f3,스미싱,명절
140,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://short.kr/rit38v2,스미싱,기타
141,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://bit.ly/v5ev9fm,스미싱,기타
142,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://ddns.net/6uturc1fa,스미싱,기타
143,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://url.kr/svcp21qv6,스미싱,택배
144,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://ddns.net/5mt91heov,스미싱,기타
145,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://ddns.net/gry1axh,스미싱,기타
146,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://short.kr/l3e4fy,스미싱,경조사
147,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://orl.kr/cgjkmwm41,스미싱,범칙금
148,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://t.ly/njtu8avoiy,스미싱,건강보험
149,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://ddns.net/4dfcy55na,스미싱,범칙금
150,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://url.kr/29kqu,스미싱,경조사
151,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://naver.me/s6c7j1x,스미싱,기타
152,[Web발신] 등기 도착 안내드립니다. 수령자 확인 필요 http://short.kr/o7jn66s,스미싱,택배
153,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://url.kr/ahxl5ccyw,스미싱,범칙금
154,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://naver.me/gkocf,스미싱,건강보험
155,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://naver.me/7tb09rxq,스미싱,기타
156,[Web발신] 청첩장이 도착했습니다. 많은 참석 부탁드립니다. http://t.ly/m6ybtimuok,스미싱,경조사
157,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://orl.kr/pkcl43zjlz,스미싱,기타
158,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://naver.me/yz0lmar,스미싱,명절
159,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://bit.ly/pgmu4ao,스미싱,건강보험
160,[Web발신] 추석 선물 쿠폰이 도착했습니다. 지금 확인하세요! http://tinyurl.com/y4no08pio,스미싱,명절
161,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://naver.me/srzpbun7i,스미싱,건강보험
162,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://tinyurl.com/unxk8wc,스미싱,택배
163,[Web발신] [국민건강보험] 환급금 신청 확인 후 입금 예정입니다. http://tinyurl.com/dhzuuaen,스미싱,건강보험
164,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://url.kr/980qwgl,스미싱,택배
165,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://short.kr/ulrel,스미싱,건강보험
166,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://naver.me/w17ckl96,스미싱,기타
167,[Web발신] 고객님 택배 배송이 지연 중입니다. 확인 바랍니다. http://t.ly/sdj59f9y8,스미싱,택배
168,[Web발신] 등기 도착 안내드립니다. 수령자 확인 필요 http://bit.ly/dposuh,스미싱,택배
169,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://t.ly/xkzish67g,스미싱,기타
170,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://orl.kr/lw98kh,스미싱,명절
171,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://orl.kr/wdx3k3,스미싱,범칙금
172,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://t.ly/gbgrwom,스미싱,범칙금
173,[Web발신] 물품 도착했으나 주소 오류로 반송되었습니다. 재확인 부탁드립니다. http://bit.ly/w1l6zb7u,스미싱,택배
174,[Web발신] 과태료 미납 내역 발생. 자세한 정보 확인 바랍니다. http://ddns.net/881m42l08y,스미싱,범칙금
175,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://naver.me/266bd714yd,스미싱,경조사
176,[Web발신] 모바일 돌잔치 초대장을 보내드립니다. 확인해주세요. http://url.kr/g3s8co0qbp,스미싱,경조사
177,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://bit.ly/lvb2nodtsa,스미싱,범칙금
178,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://t.ly/6xadf,스미싱,건강보험
179,[Web발신] 고객님 휴대폰 요금 미납 내역 발생. 확인 요망 http://tinyurl.com/fkg2pdsh,스미싱,기타
180,[Web발신] 모바일 인증번호가 도착했습니다. 링크 접속 필요 http://short.kr/azvex9,스미싱,기타
181,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://tinyurl.com/jpumu,스미싱,건강보험
182,[Web발신] 새해 선물 발송 안내드립니다. 주소 확인 바랍니다. http://naver.me/0fp9ntdc,스미싱,명절
183,[Web발신] 건강보험료 미납 확인 바랍니다. 추가 정보 확인 http://ddns.net/t659lgp91,스미싱,건강보험
184,[Web발신] [교통위반] 범칙금 고지서 발송 완료. 확인 필수 http://t.ly/np9sah27,스미싱,범칙금
